Date,IWF,IWM,MTUM,SPY,SUZ,VLUE,VXX
2018-09-24,-1.738797306710007,-3.415950777803576,-0.2795449268632459,-2.6790109124680757,1.0,-2.49582075690736,0.0
2018-09-25,-1.7385257301808068,-3.4076263328697265,-0.28372739916550765,-2.672229949003245,1.0,-2.488062123319425,0.0
2018-09-26,-1.7478776601930457,-3.422956157692755,-0.2920106989184789,-2.679962786370508,1.0,-2.4864519130131413,0.0
2018-09-27,-1.7487827498261073,-3.396823556689079,-0.2961975423139346,-2.67226988175284,1.0,-2.4785532112218873,0.0
2018-09-28,-1.745915884602016,-3.3957826439578267,-0.2975321515467501,-2.6700266481288377,1.0,-2.4768856447688563,0.0
2018-10-01,-1.7488118697113713,-3.394343340674626,-0.2984815115335574,-2.6720760403384722,1.0,-2.477802248753912,0.0
2018-10-02,-1.7526956521739132,-3.368579710144928,-0.30933333333333335,-2.678608695652174,1.0,-2.4851014492753625,0.0
2018-10-03,-1.7498842056507642,-3.343446039833256,-0.30673923112552104,-2.6834182491894394,1.0,-2.495947197776748,0.0
2018-10-04,-1.8153281212982706,-3.390547263681592,-0.3230277185501066,-2.7764747690120823,1.0,-2.5401563610518836,0.0
2018-10-05,-1.760433667521567,-3.3358591746327817,-0.2744229424108184,-2.759384471904873,1.0,-2.527512240615528,0.0
2018-10-08,-1.7570529260899976,-3.331545814875262,-0.2586850081604104,-2.77850314758685,1.0,-2.531942177663791,0.0
2018-10-09,-1.7592160522631823,-3.3344610359309375,-0.26014932337844143,-2.7797480167988797,1.0,-2.532081194587027,0.0
2018-10-10,-1.7849994112798775,-3.3608854350641706,-0.2722241846226304,-2.812669257035205,1.0,-2.5436241610738253,0.0
2018-10-11,-1.5903795132079823,-3.4348829161379624,-0.0,-2.8328526935055947,1.0,-2.6772407428769176,0.0
2018-10-12,-1.5952999661055247,-3.389673483222235,-0.0,-2.7422890068918764,1.0,-2.570782962377132,0.0
2018-10-15,-1.5094805340513855,-3.4423875238415795,-0.0,-2.711881521373275,1.0,-2.555929541119713,0.0
2018-10-16,-1.5076250280331913,-3.442363758690289,-0.0,-2.709464005382373,1.0,-2.5538237272931155,0.0
