Date,IWF,IWM,MTUM,OIA,SPY,VLUE,VXX
2018-09-24,-0.1344024654719781,-0.3090400639196439,-0.0,1.0,-0.25375718144808435,-0.2051706426207054,0.0
2018-09-25,-0.13510840623811335,-0.30865348041080254,-0.0,1.0,-0.253461392164321,-0.20462152909851652,0.0
2018-09-26,-0.13723361709421245,-0.3110895275095698,-0.0,1.0,-0.25408977508617575,-0.20204155478108518,0.0
2018-09-27,-0.141617890983966,-0.30546605403138166,-0.0,1.0,-0.2560294369983413,-0.20342796133534155,0.0
2018-09-28,-0.14205065608788528,-0.30538602380225816,-0.0,1.0,-0.2561794324076899,-0.20359703997558742,0.0
2018-10-01,-0.14289803629701725,-0.3048224270529189,-0.0,1.0,-0.25684624339230167,-0.20377473712333735,0.0
2018-10-02,-0.1441168050386487,-0.30041034449852083,-0.0,1.0,-0.2584979482775074,-0.20553487928237424,0.0
2018-10-03,-0.14462849391490418,-0.3028218795972564,-0.0,1.0,-0.25830610802239157,-0.2047916547257408,0.0
2018-10-04,-0.1457792207792208,-0.30084033613445377,-0.0,1.0,-0.25964476699770817,-0.2035905271199389,0.0
2018-10-05,-0.13972389434306223,-0.29610147927308633,-0.0,1.0,-0.25947095573574375,-0.20364216403030705,0.0
2018-10-08,-0.14283527543386332,-0.3023553948299944,-0.0,1.0,-0.2611407688039339,-0.2070680978895203,0.0
2018-10-09,-0.14636997853419195,-0.3038945108862312,-0.0,1.0,-0.26090539711744865,-0.20542011652867218,0.0
2018-10-10,-0.15048450357609783,-0.30448742597862033,-0.0,1.0,-0.26472737060678303,-0.20293393832192572,0.0
2018-10-11,-0.11644702553793462,-0.2929044747226565,-0.0,1.0,-0.24942297669570396,-0.20259102077283894,0.0
2018-10-12,-0.1142243772439575,-0.2906318244068549,-0.0,1.0,-0.24690009993707665,-0.19893030314246585,0.0
2018-10-15,-0.10911541017499816,-0.29363878018164363,-0.0,1.0,-0.2452189322897438,-0.1979805065347412,0.0
2018-10-16,-0.09962766557599007,-0.3265636165331528,-0.0,1.0,-0.2511941028244763,-0.20311030877430514,0.0
2018-10-17,-0.08823583874969909,-0.30518674888432124,-0.0,1.0,-0.24941206969983148,-0.20891431957483844,0.0
2018-10-18,-0.09038748137108792,-0.31195976154992544,-0.0,1.0,-0.2491803278688524,-0.21136363636363636,0.0
2018-10-19,-0.08480591497227356,-0.30659889094269865,-0.0,1.0,-0.24807763401109054,-0.20898336414048058,0.0
2018-10-22,-0.08517840297430775,-0.3077890609104193,-0.0,1.0,-0.24784048240016274,-0.2088859293786878,0.0
2018-10-23,-0.08732243267238829,-0.3079683338265759,-0.0,1.0,-0.2462821840781296,-0.20810520864160995,0.0
2018-10-24,-0.08641542182912643,-0.3060546189781561,-0.0,1.0,-0.24597005003969938,-0.20804328157024948,0.0
2018-10-25,-0.0710429557887185,-0.28289839476280154,-0.0,1.0,-0.2477087256748274,-0.1919110393686665,0.0
2018-10-26,-0.07005012531328321,-0.28143573218761186,-0.0,1.0,-0.2476548514142499,-0.19104905119942714,0.0
2018-10-29,-0.06037628379701322,-0.2845979957636923,-0.0,1.0,-0.24230611772663355,-0.19269859917053805,0.0
2018-10-30,-0.05824361598006941,-0.28456268351276803,-0.0,1.0,-0.24233472728890473,-0.1943945190853279,0.0
2018-10-31,-0.06336317702331354,-0.271092988210265,-0.0,1.0,-0.2447123481960819,-0.19372396064178707,0.0
2018-11-01,-0.0615564533276632,-0.2723084555957191,-0.0,1.0,-0.24445389467715645,-0.19361754908214618,0.0
2018-11-02,-0.06719213912059946,-0.25169659267637495,-0.0,1.0,-0.25577901880390214,-0.1926339601300721,0.0
2018-11-05,-0.06561373754504982,-0.25591830966009466,-0.0,1.0,-0.25609497562009753,-0.18901491060702424,0.0
2018-11-06,-0.06789032964703388,-0.2577465286365403,-0.0,1.0,-0.2544429919089849,-0.18653499629014592,0.0
2018-11-07,-0.06737087543277044,-0.2585140959513884,-0.0,1.0,-0.2538331095880732,-0.1867095315480817,0.0
2018-11-08,-0.05430308126193354,-0.25881549214357036,-0.0,1.0,-0.24909348888538546,-0.18950023648116032,0.0
2018-11-09,-0.05447123134066858,-0.25888289298479217,-0.0,1.0,-0.249071413553858,-0.18960684000280326,0.0
2018-11-12,-0.0545721425201391,-0.24783755919408676,-0.0,1.0,-0.256137837034966,-0.1888619008509969,0.0
2018-11-13,-0.04502041663782961,-0.24401342653470826,-0.0,1.0,-0.25577894663990586,-0.18541075506955498,0.0
2018-11-14,-0.04391293782761135,-0.24674558267087862,-0.0,1.0,-0.25750685597250667,-0.1875238657270802,0.0
2018-11-15,-0.04357177548046902,-0.246565600499549,-0.0,1.0,-0.25752792617775616,-0.18686255463817386,0.0
