Date,IWF,IWM,MTUM,SPY,SQM,VLUE,VXX
2018-09-24,-0.566651845264562,-1.0737216540684749,-0.0490884837705647,-0.9492218763895065,1.0,-0.8077367718986216,0.0
2018-09-25,-0.5661133116738618,-1.0758378209978192,-0.04748764965062976,-0.9510436601539899,1.0,-0.8101384129244737,0.0
2018-09-26,-0.5659056452332114,-1.0770534201373407,-0.04347632212610363,-0.9545616694907697,1.0,-0.8180683135646126,0.0
2018-09-27,-0.5695255067943863,-1.0671864557807975,-0.04633548674537759,-0.954555580307418,1.0,-0.8177322343506349,0.0
2018-09-28,-0.5658828253982419,-1.073446075587881,-0.0475213065012717,-0.9558252643790995,1.0,-0.8194636562402392,0.0
2018-10-01,-0.5678885565031031,-1.0722864669375363,-0.04746171362236014,-0.9573157119257043,1.0,-0.8199312407911774,0.0
2018-10-02,-0.5713391739674593,-1.0507777579116753,-0.055918111925621315,-0.9642857142857143,1.0,-0.8275522975147506,0.0
2018-10-03,-0.571933751119069,-1.0363025962399284,-0.05335720680393913,-0.9732766338406447,1.0,-0.8413607878245299,0.0
2018-10-04,-0.5734221943910185,-1.0319363063022766,-0.05425593773762133,-0.9746835443037974,1.0,-0.8385740483964754,0.0
2018-10-05,-0.5639871669191694,-1.0268692629890384,-0.04103912307280991,-0.9805721415203635,1.0,-0.8434631494519206,0.0
2018-10-08,-0.5623720971616691,-1.0242459293531452,-0.03874899902126524,-0.9812260877302251,1.0,-0.8422457514013701,0.0
2018-10-09,-0.5600569851304426,-1.0259994657644023,-0.03156441990917995,-0.9859317959220016,1.0,-0.8484106490962514,0.0
2018-10-10,-0.5598646422369651,-1.0266708223874617,-0.030633599002627007,-0.9863751725366222,1.0,-0.8490137584042031,0.0
2018-10-11,-0.4887117621714778,-1.0055148642826368,-0.0,-0.9613528651443343,1.0,-0.8529082292115467,0.0
2018-10-12,-0.5044972078946247,-0.9994032141182488,-0.0,-0.9373801099791126,1.0,-0.8215183937934268,0.0
2018-10-15,-0.47783209351753453,-1.0211264612114772,-0.0,-0.9314346439957493,1.0,-0.8204038257173221,0.0
2018-10-16,-0.4749033108079392,-1.0255004462578095,-0.0,-0.9303412809724171,1.0,-0.8193293382634197,0.0
2018-10-17,-0.4442587330770516,-0.9714190205582484,-0.0,-0.9272522146080561,1.0,-0.8356175831522646,0.0
2018-10-18,-0.44712788259958075,-0.980041928721174,-0.0,-0.9270020964360588,1.0,-0.8387002096436059,0.0
2018-10-19,-0.42860112242776965,-0.9647890251506963,-0.0,-0.9280399085429224,1.0,-0.8357098316358345,0.0
2018-10-22,-0.42859519946753194,-0.9520778734556345,-0.0,-0.9360622322059986,1.0,-0.8432131120262906,0.0
2018-10-23,-0.4269835983681625,-0.9528765298476397,-0.0,-0.9382649238198318,1.0,-0.8446840396303389,0.0
2018-10-24,-0.42458518734145634,-0.9474778558655965,-0.0,-0.9394103214538196,1.0,-0.847007942778725,0.0
2018-10-25,-0.37223936342968494,-0.892253978564469,-0.0,-0.9793764209158817,1.0,-0.8159304969145826,0.0
2018-10-26,-0.35164394546912586,-0.8737369687249398,-0.0,-0.9814755412991178,1.0,-0.8027265437048917,0.0
2018-10-29,-0.31443940427923406,-0.9021315884548995,-0.0,-0.9739472522178957,1.0,-0.8237726305648108,0.0
2018-10-30,-0.3258883657290032,-0.9048653869371001,-0.0,-0.976135860598012,1.0,-0.8174171998873194,0.0
2018-10-31,-0.32834092179886576,-0.8852544132917965,-0.0,-0.9704449237159518,1.0,-0.8098889687674734,0.0
2018-11-01,-0.34013550896042977,-0.8810888826524476,-0.0,-0.974702321292547,1.0,-0.813214128212324,0.0
2018-11-02,-0.34051847315778727,-0.925535823637477,-0.0,-0.9830577668912023,1.0,-0.8333537456623801,0.0
2018-11-05,-0.33483072650794293,-0.9429493200473721,-0.0,-0.9852166455670355,1.0,-0.8208845509862376,0.0
2018-11-06,-0.3449897750511247,-0.9531288343558282,-0.0,-0.9801226993865031,1.0,-0.8117382413087935,0.0
2018-11-07,-0.3439097190988265,-0.9543688923416609,-0.0,-0.9786564173856156,1.0,-0.8118739011325999,0.0
2018-11-08,-0.2995487254543237,-0.9650363865512055,-0.0,-0.9715819002317356,1.0,-0.8293694352969874,0.0
2018-11-09,-0.30113960113960114,-0.9663003663003663,-0.0,-0.9717541717541718,1.0,-0.8308099308099308,0.0
2018-11-12,-0.3000526550285552,-0.9455628012475191,-0.0,-0.9784519421604764,1.0,-0.8263194135039896,0.0
2018-11-13,-0.2713380394673512,-0.9384726455960211,-0.0,-0.9809080699502647,1.0,-0.8202310283972404,0.0
2018-11-14,-0.2703983295856087,-0.9407725666559589,-0.0,-0.9822116929007387,1.0,-0.8219964664310954,0.0
2018-11-15,-0.27038333132215114,-0.9482321708700374,-0.0,-0.9944491372028479,1.0,-0.8093399300108604,0.0
2018-11-16,-0.2689807383627609,-0.9418940609951846,-0.0,-0.991653290529695,1.0,-0.8103130016051364,0.0
2018-11-19,-0.272738219474994,-0.9411575820823633,-0.0,-0.9900056193304969,1.0,-0.8099462149795296,0.0
2018-11-20,-0.23286033163265307,-0.9311623086734695,-0.0,-0.9941007653061226,1.0,-0.8278459821428572,0.0
2018-11-21,-0.2330300632911392,-0.9236946202531644,-0.0,-0.9899525316455694,1.0,-0.8089794303797467,0.0
