Date,ELS,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.21339776065392313,-0.3370726723147005,-0.0,-0.3284729022095449,-0.24971263144450595,0.0
2018-09-25,1.0,-0.21139599923144253,-0.33997993211075767,-0.0,-0.3306504984949083,-0.2528554044533635,0.0
2018-09-26,1.0,-0.21097469840930927,-0.339724564962101,-0.0,-0.33075691256538914,-0.2536991566136436,0.0
2018-09-27,1.0,-0.2106477525209366,-0.3409673560075201,-0.0,-0.33088360963937785,-0.2538882242351735,0.0
2018-09-28,1.0,-0.21074336018461143,-0.34106108843828126,-0.0,-0.3309117326552852,-0.25399029935257794,0.0
2018-10-01,1.0,-0.2106757279883006,-0.3488322078368962,-0.0,-0.33339068347025674,-0.25775302163533914,0.0
2018-10-02,1.0,-0.21006286600068894,-0.35387960730279017,-0.0,-0.332307096107475,-0.2566956596624182,0.0
2018-10-03,1.0,-0.20979231679758958,-0.3514473259442591,-0.0,-0.3328957279672872,-0.2580006456472614,0.0
2018-10-04,1.0,-0.216074976246005,-0.3463548414960698,-0.0,-0.34190636607065733,-0.2551179061933143,0.0
2018-10-05,1.0,-0.21013028335554884,-0.3418325665391065,-0.0,-0.34247753364578404,-0.2554284731478695,0.0
2018-10-08,1.0,-0.20894240882649665,-0.34013780668426813,-0.0,-0.3428209586365295,-0.25462038766179407,0.0
2018-10-09,1.0,-0.20492596015388254,-0.34051881622214103,-0.0,-0.34522555825399215,-0.2585054482150917,0.0
2018-10-10,1.0,-0.2074015138482711,-0.33988474109754,-0.0,-0.3470884225012902,-0.2559779803887838,0.0
2018-10-11,1.0,-0.1872457903943015,-0.3304250700722851,-0.0,-0.33763250511053505,-0.2521337801100082,0.0
2018-10-12,1.0,-0.18608644664097837,-0.32714860110571287,-0.0,-0.3343106047914224,-0.24660747193834814,0.0
2018-10-15,1.0,-0.17554669061592765,-0.3354706656362915,-0.0,-0.3317529605881493,-0.2458280248125483,0.0
2018-10-16,1.0,-0.17116212938568978,-0.34366244302262366,-0.0,-0.3310333291515075,-0.24505499100907455,0.0
2018-10-17,1.0,-0.16719288770719953,-0.33567363217149265,-0.0,-0.3291512608533089,-0.24517053716089898,0.0
2018-10-18,1.0,-0.16759497880123037,-0.33689417241665975,-0.0,-0.32851858009809626,-0.24530301770720758,0.0
2018-10-19,1.0,-0.15905716406829992,-0.3287758805576177,-0.0,-0.33019879567763755,-0.24414336385383154,0.0
2018-10-22,1.0,-0.15884573338008703,-0.32295125925620344,-0.0,-0.3335327241599802,-0.24733400713681647,0.0
2018-10-23,1.0,-0.15426437020128658,-0.32678979041294876,-0.0,-0.341253372068894,-0.25281178667773396,0.0
2018-10-24,1.0,-0.153908574519881,-0.3231934416678804,-0.0,-0.34514471192859075,-0.2584423961215955,0.0
2018-10-25,1.0,-0.1282019855374433,-0.2978918985169751,-0.0,-0.37175715978265317,-0.24488295134207624,0.0
2018-10-26,1.0,-0.12761920306857363,-0.296880419480546,-0.0,-0.3714728745434885,-0.2443229347316018,0.0
2018-10-29,1.0,-0.13169921915028796,-0.2965999221199762,-0.0,-0.3773901994138504,-0.24378496915541165,0.0
2018-10-30,1.0,-0.11905250626051973,-0.29841126483024755,-0.0,-0.3794696005583152,-0.25569604663574036,0.0
2018-10-31,1.0,-0.12257972374676106,-0.2856997123212209,-0.0,-0.3789198783996083,-0.25309611735661963,0.0
2018-11-01,1.0,-0.09627482422597754,-0.3143374038896427,-0.0,-0.3852020887299042,-0.26004276139961346,0.0
2018-11-02,1.0,-0.0988788411964483,-0.30121936249437375,-0.0,-0.388436515405704,-0.2573755063627808,0.0
2018-11-05,1.0,-0.10131228214066024,-0.29639122411318436,-0.0,-0.38917367233955297,-0.2635636661882304,0.0
2018-11-06,1.0,-0.09863554167351636,-0.29518740752917966,-0.0,-0.39271329935886895,-0.26835032056551045,0.0
2018-11-07,1.0,-0.09824417291303009,-0.29528699045076495,-0.0,-0.39192935619673475,-0.26813841256802545,0.0
2018-11-08,1.0,-0.09777631768063569,-0.2951563558713015,-0.0,-0.3925014886146644,-0.2678274438946266,0.0
2018-11-09,1.0,-0.09727698373583046,-0.29528092656481025,-0.0,-0.39321504846393956,-0.26778380154427467,0.0
2018-11-12,1.0,-0.09701706289128033,-0.28661156348459427,-0.0,-0.3963541879782316,-0.2659478702074553,0.0
2018-11-13,1.0,-0.08309502078896663,-0.28275022817158507,-0.0,-0.3992090051718893,-0.2631376128181726,0.0
2018-11-14,1.0,-0.08307473887029714,-0.2827705100902545,-0.0,-0.3992090051718893,-0.2631376128181726,0.0
2018-11-15,1.0,-0.08264010063709776,-0.28283894006411553,-0.0,-0.39942377145639735,-0.26407093292212797,0.0
2018-11-16,1.0,-0.07911597729115977,-0.276419302514193,-0.0,-0.4005677210056772,-0.2714517437145174,0.0
