Date,IWF,IWM,KOF,MTUM,SPY,VLUE,VXX
2018-09-24,-0.3733310273261847,-0.7390868211691456,1.0,-0.0,-0.7152888273953649,-0.6313040470425458,0.0
2018-09-25,-0.37332226373322264,-0.7391725473917254,1.0,-0.0,-0.7153383146533832,-0.6314169088141691,0.0
2018-09-26,-0.37416542705918987,-0.7399591794375066,1.0,-0.0,-0.7153284671532847,-0.6299166291901616,0.0
2018-09-27,-0.3830952711135765,-0.730481209263625,1.0,-0.0,-0.719976424906393,-0.6333726251560117,0.0
2018-09-28,-0.38237537266865423,-0.7311932330305762,1.0,-0.0,-0.7197531720169175,-0.6333633779380157,0.0
2018-10-01,-0.3821580937185668,-0.7326835697686518,1.0,-0.0,-0.7197461066213451,-0.6339010093302349,0.0
2018-10-02,-0.38591256072172103,-0.7198126301179736,1.0,-0.0,-0.7248438584316447,-0.639208882720333,0.0
2018-10-03,-0.38794127927298144,-0.7057672142607478,1.0,-0.0,-0.7405802167074449,-0.6609926599091226,0.0
2018-10-04,-0.3950988972518817,-0.698722212497812,1.0,-0.0,-0.7501137755995098,-0.6568527918781725,0.0
2018-10-05,-0.3835855240220347,-0.6915138414336517,1.0,-0.0,-0.7522836622271807,-0.659124189387072,0.0
2018-10-08,-0.3825215403551961,-0.6961139440829963,1.0,-0.0,-0.7710216282750132,-0.6671355723580096,0.0
2018-10-09,-0.3829218541183091,-0.6963142716466203,1.0,-0.0,-0.7709784061335022,-0.6667018358303439,0.0
2018-10-10,-0.38325774355729,-0.695672045846078,1.0,-0.0,-0.7712969799247618,-0.6656119256055971,0.0
2018-10-11,-0.311510570932489,-0.6749395703537263,1.0,-0.0,-0.7474211010111328,-0.6706158717189256,0.0
2018-10-12,-0.32304637544591774,-0.6676987278723834,1.0,-0.0,-0.7285118126135828,-0.646126405061587,0.0
2018-10-15,-0.29851948836740855,-0.6885889817705709,1.0,-0.0,-0.7238728304293819,-0.6461879343337698,0.0
2018-10-16,-0.2921302988536659,-0.7012808014253538,1.0,-0.0,-0.7229972770363398,-0.6452415369617104,0.0
2018-10-17,-0.273850422832981,-0.6656646405919662,1.0,-0.0,-0.7156448202959831,-0.6482227801268499,0.0
2018-10-18,-0.2734839476813318,-0.6650812524772097,1.0,-0.0,-0.7161778306249175,-0.6482362267142291,0.0
2018-10-19,-0.2613714623028236,-0.6551011707605024,1.0,-0.0,-0.7168202538287476,-0.6461482963303053,0.0
2018-10-22,-0.26132004328010755,-0.6472671235122464,1.0,-0.0,-0.7205154267353029,-0.6496606446112988,0.0
2018-10-23,-0.25611164263798625,-0.6535911055392433,1.0,-0.0,-0.7315825937778364,-0.6578799775659002,0.0
2018-10-24,-0.2578687650040011,-0.6541744465190718,1.0,-0.0,-0.7460322752734062,-0.6761803147506001,0.0
2018-10-25,-0.22760868863570347,-0.6085272568828067,1.0,-0.0,-0.74566697866572,-0.6457734886873447,0.0
2018-10-26,-0.20994316367584137,-0.5954403218596335,1.0,-0.0,-0.7510058113544925,-0.6366306916150456,0.0
2018-10-29,-0.18482341711740374,-0.6079860006363347,1.0,-0.0,-0.7426662424435252,-0.6462297168310531,0.0
2018-10-30,-0.21892075398493324,-0.6237511720391865,1.0,-0.0,-0.7561188528565425,-0.634420770150991,0.0
2018-10-31,-0.2211408749277317,-0.6091732511081133,1.0,-0.0,-0.7523607631528233,-0.6292156484871844,0.0
2018-11-01,-0.2011106831022085,-0.6259309193631227,1.0,-0.0,-0.7525359527478171,-0.6304892141756548,0.0
2018-11-02,-0.20139401920791444,-0.627372884077988,1.0,-0.0,-0.7523206886583369,-0.6309703530016382,0.0
2018-11-05,-0.19428332044341326,-0.6535189481825213,1.0,-0.0,-0.7581206496519722,-0.6165893271461718,0.0
2018-11-06,-0.1827503214532986,-0.6626223995252382,1.0,-0.0,-0.794170980185289,-0.6574132076093765,0.0
2018-11-07,-0.18276839883935636,-0.6626879451332103,1.0,-0.0,-0.7943154840411502,-0.657478237931944,0.0
2018-11-08,-0.15896246447355528,-0.6614615661036882,1.0,-0.0,-0.785436607755382,-0.660938878181046,0.0
