Date,CBD,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.7061896056411595,-1.1623400365630712,-0.0,-1.2006790284669626,-1.1540872290415252,0.0
2018-09-25,1.0,-0.7062111476780024,-1.1625137125842344,-0.0,-1.200804471608421,-1.1542600428355012,0.0
2018-09-26,1.0,-0.7077477665743692,-1.1640457656339795,-0.0,-1.2008776970900163,-1.1517684551486338,0.0
2018-09-27,1.0,-0.7185913871592277,-1.1520066977133587,-0.0,-1.2062686410967507,-1.1557218355920675,0.0
2018-09-28,1.0,-0.7249357326478149,-1.1529825297728344,-0.0,-1.2097476522742772,-1.1586485493940506,0.0
2018-10-01,1.0,-0.7269434675345126,-1.1519080363235525,-0.0,-1.2111700173219253,-1.1589942785155634,0.0
2018-10-02,1.0,-0.7264269946389151,-1.163355408388521,-0.0,-1.2092399873856827,-1.1569956901082727,0.0
2018-10-03,1.0,-0.7353395472703061,-1.1509454061251665,-0.0,-1.2418109187749666,-1.1981890812250333,0.0
2018-10-04,1.0,-0.7370941990420437,-1.1464608834486427,-0.0,-1.2431612559872272,-1.1952102182011708,0.0
2018-10-05,1.0,-0.7175386570641813,-1.1330226646896844,-0.0,-1.2454458801101462,-1.1994810421520863,0.0
2018-10-08,1.0,-0.7122903550076715,-1.1272419448706417,-0.0,-1.2522617850907358,-1.1989312734775937,0.0
2018-10-09,1.0,-0.7042679689988323,-1.1316487949888525,-0.0,-1.261014969742011,-1.2114343348550802,0.0
2018-10-10,1.0,-0.7099054097141035,-1.1312573068338827,-0.0,-1.2657030502710171,-1.2071952386013394,0.0
2018-10-11,1.0,-0.5983849534907493,-1.0869876316058469,-0.0,-1.219411223551058,-1.2061739752632117,0.0
2018-10-12,1.0,-0.6065152812043704,-1.068677307285635,-0.0,-1.189063994763607,-1.1707366195055637,0.0
2018-10-15,1.0,-0.576554423646309,-1.090028604406082,-0.0,-1.182064535554775,-1.169669292919155,0.0
2018-10-16,1.0,-0.5847841400825199,-1.08448223810003,-0.0,-1.187531448123176,-1.1749018818556909,0.0
2018-10-17,1.0,-0.5534659314690824,-1.0235328869633715,-0.0,-1.1712780622292243,-1.1749212288302482,0.0
2018-10-18,1.0,-0.5527170702894271,-1.0221008072455207,-0.0,-1.1724748966331955,-1.1749852333136444,0.0
2018-10-19,1.0,-0.5261514441842311,-0.9989754098360655,-0.0,-1.1774980483996877,-1.1763758782201406,0.0
2018-10-22,1.0,-0.5263106511764132,-0.9858439910182565,-0.0,-1.1855413453089916,-1.1837352338182174,0.0
2018-10-23,1.0,-0.5304309629557323,-0.9859924837717801,-0.0,-1.1823417443506272,-1.1819512909366001,0.0
2018-10-24,1.0,-0.5276504437725544,-0.9787379303618453,-0.0,-1.1842387593874963,-1.1859943431190871,0.0
2018-10-25,1.0,-0.4685002350728726,-0.8984485190409026,-0.0,-1.197132110954396,-1.13737658674189,0.0
