Date,IWF,IWM,MTUM,NQP,SPY,VLUE,VXX
2018-09-24,-0.09329300664425104,-0.22513232194855132,-0.0,1.0,-0.15917244485915152,-0.13119580430830613,0.0
2018-09-25,-0.09352980920819794,-0.22502493484765615,-0.0,1.0,-0.159100415044561,-0.1310446896817992,0.0
2018-09-26,-0.09281437125748503,-0.22466357607365914,-0.0,1.0,-0.15942308930526045,-0.13278282145386644,0.0
2018-09-27,-0.09488334674175382,-0.22107803700724052,-0.0,1.0,-0.1599678197908286,-0.13309734513274335,0.0
2018-09-28,-0.09570733906546872,-0.2208321257205423,-0.0,1.0,-0.1602743696261231,-0.13333655363410943,0.0
2018-10-01,-0.09585158464313323,-0.22077106415872197,-0.0,1.0,-0.16038070085029632,-0.13340633857253287,0.0
2018-10-02,-0.09553821851123505,-0.22370160224378602,-0.0,1.0,-0.1598375189400045,-0.13283793803797672,0.0
2018-10-03,-0.09515431301652894,-0.21713584710743802,-0.0,1.0,-0.16336841425619836,-0.1384943181818182,0.0
2018-10-04,-0.09647537279710801,-0.21507649602995288,-0.0,1.0,-0.16506358530759796,-0.13724097863275453,0.0
2018-10-05,-0.0970107163000564,-0.21576021271452744,-0.0,1.0,-0.1636290387559423,-0.13508983965836757,0.0
2018-10-08,-0.0961705551086082,-0.2145454545454545,-0.0,1.0,-0.16378117457763475,-0.1344971842316975,0.0
2018-10-09,-0.09444435505928918,-0.21435811626148374,-0.0,1.0,-0.16440075298054802,-0.13571348124788826,0.0
2018-10-10,-0.09564098439761942,-0.2136882740871803,-0.0,1.0,-0.16507962039568924,-0.13406787839794113,0.0
2018-10-11,-0.07595412671554805,-0.20497273923669865,-0.0,1.0,-0.15414864949551924,-0.13163501911386852,0.0
2018-10-12,-0.07799894909281983,-0.1997650913361976,-0.0,1.0,-0.14562791704015082,-0.12207523259048621,0.0
2018-10-15,-0.06895914217045665,-0.20707770998952363,-0.0,1.0,-0.14312565477290934,-0.12147963271091392,0.0
2018-10-16,-0.06757360531221594,-0.20929945922627757,-0.0,1.0,-0.14272728673332613,-0.1210655245196974,0.0
2018-10-17,-0.06140350877192983,-0.1971856725146199,-0.0,1.0,-0.14096003898635479,-0.12335526315789475,0.0
2018-10-18,-0.06141499664981421,-0.19724980203447645,-0.0,1.0,-0.14084485594201132,-0.12330206493269172,0.0
2018-10-19,-0.057660626029654036,-0.1929779484001632,-0.0,1.0,-0.1395039523600804,-0.12127624200837325,0.0
2018-10-22,-0.05789298569311273,-0.19370254983212848,-0.0,1.0,-0.13946946553340794,-0.12129094703729468,0.0
2018-10-23,-0.05913840291533728,-0.19373081517547974,-0.0,1.0,-0.13846339951310238,-0.12077177808355889,0.0
2018-10-24,-0.058520754716981135,-0.1911547169811321,-0.0,1.0,-0.13838490566037737,-0.12137358490566037,0.0
2018-10-25,-0.04926646397260678,-0.17663901762257578,-0.0,1.0,-0.13889954836614812,-0.11112259054815951,0.0
2018-10-26,-0.04405790299634806,-0.17293166918440078,-0.0,1.0,-0.14094422363345702,-0.1086927826584339,0.0
2018-10-29,-0.03879373231011642,-0.17392255843132676,-0.0,1.0,-0.1373318549210703,-0.10891132444340695,0.0
2018-10-30,-0.03905976421150928,-0.17393778452200304,-0.0,1.0,-0.1373584685420801,-0.10873117777518386,0.0
2018-10-31,-0.040808919601637586,-0.16719897796231237,-0.0,1.0,-0.13665398797944311,-0.10708167590952644,0.0
2018-11-01,-0.04060567347057286,-0.16737318893179642,-0.0,1.0,-0.13665398797944311,-0.1071107110711071,0.0
2018-11-02,-0.042175906507181185,-0.1598085017139386,-0.0,1.0,-0.138706084843576,-0.10565672051953313,0.0
2018-11-05,-0.04235498336467525,-0.1594098076088529,-0.0,1.0,-0.13870967741935483,-0.10607550990886735,0.0
